shawn,lee,sheas@gmail.com,1231351123,143,New York,New York,MALE,2022-03-31,00:00,67.2,2022-03-31T06:00
asd,weq,qwe@gmail.com,123241231,12,New York,New York,MALE,2022-03-31,00:00,56.0,2022-03-31T06:00
asjd,askdj,aksdj@gmail.com,5134131234,12,New York,New York,MALE,2022-03-31,00:00,56.0,2022-03-31T06:00
ldkfdl,lsdk,alskd@gmail.com,238947232,65,New York,New York,MALE,2022-03-31,00:00,67.2,2022-03-31T06:00
asdf,asdf,asdf@gmail,com,1251234,23,New York,New York,MALE,2022-03-31,00:00,112.0,2022-03-31T06:00
qwer,erq,sadf@gmail.com,1234123123,45,New York,New York,MALE,2022-03-31,00:00,112.0,2022-03-31T06:00
qewr,SDFA,skjaf@gmail.com,1234513,54,New York,New York,MALE,2022-03-31,00:00,112.0,2022-03-31T06:00
cake,kyky,cake@gmail.com,12354123,34,New York,New York,FEMALE,2022-03-31,00:00,28.0,2022-03-31T06:00
wee,wee,wee@gmail.com,124123,32,New York,New York,MALE,2022-03-31,00:00,112.0,2022-03-31T06:00
shawn,lian,shawn@gmail.com,124523412,12,New York,New York,MALE,2022-03-31,00:00,56.0,2022-03-31T06:00
